Sr No,timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude,FIR
1685,07-03-2018 22:55,0,0,1,0,0,0,22.729645,75.897313,FIR1103$
1686,7/3/2018 16.42 ,0,0,0,1,0,0,22.813268,75.848615,FIR1112$
1687,7/3/2018 17.28,0,0,0,1,0,0,22.745585,75.860658,FIR1090$
1688,07-03-2018 18:05,1,0,0,0,0,0,22.744118,75.894023,FIR1675$
1689,07-03-2018 14:00,1,0,0,0,0,0,22.792347,75.907511,FIR1153$
1690,07-03-2018 16:00,0,0,1,0,0,0,22.792347,75.907511,FIR1713$
1691,07-03-2018 18:00,0,0,0,1,0,0,22.741773,75.923824,FIR1695$
1692,07-03-2018 00:35,0,0,0,1,0,0,22.741773,75.923824,FIR712$
1693,07-03-2018 20:20,0,0,1,0,0,0,22.728835,75.8796,FIR122$
1694,07-03-2018 13:00,0,0,0,1,0,0,22.771026,75.851612,FIR1532$
1695,07-03-2018 16:15,0,0,0,1,0,0,22.707853,75.860957,FIR1274$
1696,07-03-2018 17:00,0,0,0,1,0,0,22.707853,75.860957,FIR439$
1697,07-03-2018 19:05,0,0,1,0,0,0,22.710027,75.862469,FIR121$
1698,07-03-2018 12:50,,0,0,0,0,0,22.683873,75.879972,FIR752$
1699,07-03-2018 21:05,0,0,0,1,0,0,22.673236,75.874455,FIR1396$
1700,07-03-2018 12:20,0,0,1,0,0,0,22.714573,75.846375,FIR970$
1701,07-03-2018 20:20,1,0,0,0,0,0,22.707243,75.842508,FIR697$
1702,07-03-2018 20:40,0,0,1,0,0,0,22.713983,75.841481,FIR931$
1703,07-03-2018 19:55,0,0,0,0,1,0,22.70976,75.830908,FIR1799$
1704,07-03-2018 21:20,0,0,0,1,0,0,22.708832,75.828798,FIR1363$
1705,07-03-2018 03:50,0,0,0,1,0,0,22.71297,75.82358,FIR854$
1706,07-03-2018 21:10,0,0,0,1,0,0,22.693481,75.821483,FIR213$
1707,07-03-2018 12:10,0,0,1,0,0,0,22.531931,75.769126,FIR314$
1708,07-03-2018 10:35,0,0,1,0,0,0,22.719569,75.857726,FIR160$
1709,07-03-2018 23:45,0,0,1,0,0,0,22.686437,76.032055,FIR1500$
1710,28-02-2018 21:00,1,0,0,0,0,0,22.73726,75.875987,FIR34$
1711,28-02-2018 21:15,1,0,0,0,0,0,22.720992,75.876083,FIR1532$
1712,28-02-2018 10:15,0,0,1,0,0,0,22.736676,75.883168,FIR609$
1713,28-02-2018 10:15,0,0,1,0,0,0,22.746527,75.887139,FIR678$
1714,28-02-2018 10:30,0,0,1,0,0,0,22.769531,75.888772,FIR543$
1715,28-02-2018 14:15,0,0,0,1,0,0,22.735218,75.913366,FIR434$
1716,28-02-2018 08:00,0,0,0,0,1,0,22.736766,75.908579,FIR1051$
